name,address,country,latitude,longitude,content/image/_url,TYPE
Swachh Public Toilet,"main orad shivaji park, Gurgaon, Delhi NCR",IN,28.44604333,77.013315,http://swachhtoilet.in/ToiletImages/1473840209724_2153.jpg,MISC
Swachh Public Toilet,"hudda market sec 3 road, Gurgaon, Delhi NCR",IN,28.47433252,77.01009705,http://swachhtoilet.in/ToiletImages/1473847543816_4378.jpg,MISC
Swachh Public Toilet,"dhanwapur road market, Gurgaon, Delhi NCR",IN,28.47935456,77.0104467,http://swachhtoilet.in/ToiletImages/1473847916644_7714.jpg,MISC
Swachh Public Toilet,"near by subhas nagar station, Gurgaon, Delhi NCR",IN,28.48830333,77.01028667,http://swachhtoilet.in/ToiletImages/1473769577684_5253.jpg,MISC
Swachh Public Toilet,"railway station plat farm,2, Gurgaon, Delhi NCR",IN,28.4882806,77.01030657,http://swachhtoilet.in/ToiletImages/1473769132589_4911.jpg,RAILWAY STATION
Swachh Public Toilet,"Gurgaunralway station, Gurgaon, Delhi NCR",IN,28.48918,77.010245,http://swachhtoilet.in/ToiletImages/1473769455307_2434.jpg,MISC
Swachh Public Toilet,"railway station plat farm.1, Gurgaon, Delhi NCR",IN,28.48851457,77.01045099,http://swachhtoilet.in/ToiletImages/1473768961269_2652.jpg,RAILWAY STATION
Swachh Public Toilet,"Gurgaun ralway station, Gurgaon, Delhi NCR",IN,28.48863,77.01051667,http://swachhtoilet.in/ToiletImages/1473769092512_9792.jpg,MISC
Swachh Public Toilet,"near by sub has nagar kaloni, Gurgaon, Delhi NCR",IN,28.488515,77.010635,http://swachhtoilet.in/ToiletImages/1473769237306_4408.jpg,MISC
Swachh Public Toilet,"visnu.gadan.gurdgav, Gurgaon, Delhi NCR",IN,28.49691833,77.00978667,http://swachhtoilet.in/ToiletImages/1473843824481_2346.jpg,MISC
Swachh Public Toilet,"railway station parking, Gurgaon, Delhi NCR",IN,28.4851017,77.0112847,http://swachhtoilet.in/ToiletImages/1473768297251_6124.jpg,RAILWAY STATION
Swachh Public Toilet,"khera new railway road, Gurgaon, Delhi NCR",IN,28.48771333,77.01145,http://swachhtoilet.in/ToiletImages/1473844905988_4138.jpg,RAILWAY STATION
Swachh Public Toilet,"near by subhas nagar mandir, Gurgaon, Delhi NCR",IN,28.48939833,77.01137833,http://swachhtoilet.in/ToiletImages/1473769838048_2854.jpg,MISC
